raceId,driverId,stop,lap,time,duration,milliseconds
1126,852,1,28,16:47:44,22.153,22153
1126,855,1,28,16:48:01,23.017,23017
1126,817,1,28,16:48:05,22.540,22540
1126,807,2,28,16:48:13,22.487,22487
1126,840,2,28,16:48:15,22.631,22631
1126,825,2,28,16:48:47,29.727,29727
1126,846,1,29,16:49:15,22.041,22041
1126,822,2,29,16:50:34,22.765,22765
1126,825,3,31,16:54:36,30.732,30732
1126,857,2,40,17:08:34,30.409,30409
1126,848,2,53,17:29:03,22.567,22567
1127,4,1,7,15:13:08,31.368,31368
1127,848,1,8,15:14:25,30.050,30050
1127,842,1,8,15:14:26,30.081,30081
1127,822,1,8,15:14:28,30.240,30240
1127,848,2,9,15:17:08,33.179,33179
1127,817,1,11,15:18:29,30.068,30068
1127,852,1,12,15:19:49,29.628,29628
1127,807,1,13,15:21:11,29.749,29749
1127,847,1,21,15:31:57,29.664,29664
1127,846,1,22,15:33:08,29.956,29956
1127,857,1,23,15:34:37,29.770,29770
1127,830,1,24,15:35:46,30.416,30416
1127,848,3,23,15:36:52,38.413,38413
1127,844,1,25,15:37:15,30.149,30149
1127,839,1,25,15:37:56,30.659,30659
1127,832,1,27,15:40:03,30.508,30508
1127,1,1,27,15:40:14,29.547,29547
1127,848,4,28,15:44:25,31.131,31131
1127,842,2,30,15:45:06,30.654,30654
1127,858,1,31,15:46:28,31.085,31085
1127,855,1,33,15:49:09,30.244,30244
1127,815,1,37,15:54:16,29.669,29669
1127,840,1,37,15:54:22,29.971,29971
1127,825,1,37,15:54:36,31.302,31302
1127,4,2,40,15:59:03,30.483,30483
1127,847,2,52,16:14:22,29.605,29605
1127,4,3,59,16:25:23,29.931,29931
1129,825,1,7,14:14:25,30.472,30472
1129,807,1,12,14:22:33,24.233,24233
1129,855,1,24,14:40:42,25.598,25598
1129,830,1,25,14:40:52,24.306,24306
1129,847,1,25,14:40:52,24.044,24044
1129,857,1,25,14:40:53,23.977,23977
1129,4,1,25,14:41:12,25.788,25788
1129,1,1,25,14:41:13,23.762,23762
1129,840,1,25,14:41:47,24.284,24284
1129,848,1,25,14:41:54,24.753,24753
1129,844,1,25,14:41:58,24.031,24031
1129,832,1,25,14:42:01,27.626,27626
1129,825,2,25,14:42:03,26.794,26794
1129,842,1,25,14:42:06,24.911,24911
1129,815,1,25,14:42:09,33.762,33762
1129,807,2,25,14:42:21,24.668,24668
1129,846,1,26,14:42:44,23.423,23423
1129,817,1,26,14:43:37,30.298,30298
1129,844,2,28,14:47:31,47.186,47186
1129,844,3,31,14:53:31,24.629,24629
1129,842,2,40,15:05:55,24.408,24408
1129,825,3,41,15:07:24,24.833,24833
1129,822,1,42,15:08:45,24.929,24929
1129,1,2,43,15:09:46,24.226,24226
1129,817,2,43,15:10:10,23.860,23860
1129,832,2,43,15:10:12,24.125,24125
1129,815,2,43,15:10:12,24.423,24423
1129,857,2,44,15:11:10,23.476,23476
1129,4,2,44,15:11:23,24.346,24346
1129,852,1,44,15:11:26,25.569,25569
1129,840,2,44,15:11:30,25.025,25025
1129,839,1,44,15:11:32,24.495,24495
1129,848,2,44,15:11:34,24.804,24804
1129,807,3,44,15:11:43,24.751,24751
1129,855,2,44,15:11:53,1:05.564,65564
1129,830,2,45,15:12:29,24.246,24246
1129,847,2,45,15:12:31,25.431,25431
1129,846,2,47,15:15:19,23.983,23983
1129,855,3,52,15:25:02,28.375,28375
1129,847,3,54,15:25:19,28.157,28157
1129,1,3,54,15:25:24,28.817,28817
1129,825,4,54,15:26:25,26.845,26845
1128,844,1,1,15:04:50,39:18.026,2358026
1128,857,1,1,15:04:52,39:17.645,2357645
1128,846,1,1,15:04:54,39:25.538,2365538
1128,847,1,1,15:04:56,39:29.363,2369363
1128,830,1,1,15:04:57,39:32.670,2372670
1128,1,1,1,15:05:00,39:35.369,2375369
1128,852,1,1,15:05:02,39:37.564,2377564
1128,848,1,1,15:05:05,39:41.390,2381390
1128,842,1,1,15:05:07,39:41.893,2381893
1128,840,1,1,15:05:10,39:43.588,2383588
1128,817,1,1,15:05:13,39:45.823,2385823
1128,4,1,1,15:05:15,39:49.467,2389467
1128,858,1,1,15:05:16,39:51.600,2391600
1128,822,1,1,15:05:19,39:54.053,2394053
1128,832,1,1,15:05:27,38:47.072,2327072
1128,855,1,1,15:05:31,39:46.414,2386414
1128,822,2,15,16:04:57,24.239,24239
1128,840,2,42,16:41:05,24.132,24132
1128,840,3,48,16:49:27,28.211,28211
1128,1,2,51,16:52:10,24.232,24232
1128,830,2,52,16:53:26,23.813,23813
1128,858,2,57,17:01:43,24.384,24384
1128,855,2,70,17:19:04,24.367,24367
1130,855,1,9,15:15:47,22.523,22523
1130,852,1,9,15:15:48,22.064,22064
1130,825,1,10,15:17:08,23.360,23360
1130,822,1,11,15:18:28,22.744,22744
1130,807,1,12,15:19:44,22.722,22722
1130,839,1,13,15:21:03,21.834,21834
1130,815,1,13,15:21:05,22.181,22181
1130,842,1,14,15:22:19,26.097,26097
1130,858,1,14,15:22:45,22.401,22401
1130,847,1,15,15:23:33,25.023,25023
1130,832,1,15,15:23:36,22.194,22194
1130,1,1,16,15:24:57,21.840,21840
1130,817,1,16,15:25:24,22.364,22364
1130,830,1,17,15:26:11,21.544,21544
1130,840,1,17,15:26:39,21.880,21880
1130,848,1,18,15:28:15,23.248,23248
1130,4,1,19,15:29:25,21.957,21957
1130,857,1,21,15:31:54,22.224,22224
1130,846,1,23,15:34:21,21.618,21618
1130,844,1,24,15:35:49,22.260,22260
1130,852,2,27,15:40:44,22.084,22084
1130,822,2,28,15:41:58,22.963,22963
1130,825,2,29,15:43:22,28.967,28967
1130,815,2,31,15:45:43,21.464,21464
1130,858,2,34,15:50:28,22.506,22506
1130,847,2,36,15:52:01,22.700,22700
1130,832,2,36,15:52:05,22.249,22249
1130,839,2,37,15:53:54,21.921,21921
1130,840,2,37,15:54:06,23.381,23381
1130,842,2,38,15:55:06,21.687,21687
1130,807,2,38,15:55:17,22.518,22518
1130,855,2,41,15:59:31,24.253,24253
1130,817,2,42,16:01:01,22.108,22108
1130,1,2,43,16:01:21,21.603,21603
1130,830,2,44,16:02:29,22.340,22340
1130,848,2,43,16:02:33,21.892,21892
1130,852,3,44,16:04:06,22.564,22564
1130,4,2,45,16:04:54,22.571,22571
1130,857,2,46,16:05:37,22.420,22420
1130,846,2,47,16:06:31,22.631,22631
1130,844,2,47,16:06:44,21.624,21624
1130,815,3,49,16:09:52,21.472,21472
1131,844,1,1,15:04:20,31.917,31917
1131,858,1,1,15:04:23,31.722,31722
1131,825,1,10,15:15:02,21.518,21518
1131,817,1,10,15:15:04,21.502,21502
1131,807,1,11,15:16:12,22.355,22355
1131,4,1,11,15:16:18,21.483,21483
1131,848,1,12,15:17:30,21.878,21878
1131,844,2,16,15:22:38,21.685,21685
