raceId,driverId,lap,position,time,milliseconds
1121,846,2,7,1:38.010,98010
1121,846,3,6,1:37.787,97787
1121,846,4,6,1:37.450,97450
1121,846,5,6,1:37.794,97794
1121,846,6,6,1:37.896,97896
1121,846,7,6,1:37.860,97860
1121,846,8,6,1:38.134,98134
1121,846,9,6,1:38.064,98064
1121,846,10,6,1:37.936,97936
1121,846,11,5,1:38.172,98172
1121,846,12,4,1:38.082,98082
1121,846,13,3,1:40.635,100635
1121,846,14,9,1:57.770,117770
1121,846,15,8,1:36.912,96912
1121,846,16,6,1:36.565,96565
1121,846,17,6,1:36.776,96776
1121,846,18,6,1:36.508,96508
1121,846,19,6,1:36.416,96416
1121,846,20,6,1:36.501,96501
1121,846,21,6,1:36.620,96620
1121,846,22,6,1:36.668,96668
1121,846,23,6,1:36.696,96696
1121,846,24,6,1:36.823,96823
1121,846,25,6,1:36.730,96730
1121,846,26,6,1:36.566,96566
1121,846,27,6,1:36.726,96726
1121,846,28,6,1:37.018,97018
1121,846,29,6,1:37.041,97041
1121,846,30,6,1:36.986,96986
1121,846,31,6,1:37.083,97083
1121,846,32,5,1:37.171,97171
1121,846,33,5,1:39.626,99626
1121,846,34,8,1:56.898,116898
1121,846,35,7,1:34.476,94476
1121,846,36,6,1:35.690,95690
1121,846,37,6,1:35.067,95067
1121,846,38,6,1:35.149,95149
1121,846,39,6,1:34.880,94880
1121,846,40,6,1:35.276,95276
1121,846,41,6,1:35.069,95069
1121,846,42,6,1:35.165,95165
1121,846,43,6,1:35.295,95295
1121,846,44,6,1:35.346,95346
1121,846,45,6,1:35.338,95338
1121,846,46,6,1:35.371,95371
1121,846,47,6,1:35.485,95485
1121,846,48,6,1:35.717,95717
1121,846,49,6,1:35.674,95674
1121,846,50,6,1:35.657,95657
1121,846,51,6,1:36.038,96038
1121,846,52,6,1:35.922,95922
1121,846,53,6,1:35.782,95782
1121,846,54,6,1:35.934,95934
1121,846,55,6,1:36.223,96223
1121,846,56,6,1:35.976,95976
1121,846,57,6,1:36.582,96582
1121,857,1,8,1:42.523,102523
1121,857,2,8,1:38.382,98382
1121,857,3,8,1:38.258,98258
1121,857,4,8,1:37.897,97897
1121,857,5,7,1:37.859,97859
1121,857,6,7,1:37.955,97955
1121,857,7,7,1:37.984,97984
1121,857,8,7,1:37.956,97956
1121,857,9,7,1:38.096,98096
1121,857,10,7,1:38.073,98073
1121,857,11,7,1:38.397,98397
1121,857,12,5,1:40.739,100739
1121,857,13,11,1:58.689,118689
1121,857,14,10,1:36.796,96796
1121,857,15,9,1:36.823,96823
1121,857,16,7,1:36.427,96427
1121,857,17,7,1:36.872,96872
1121,857,18,7,1:37.095,97095
1121,857,19,7,1:36.577,96577
1121,857,20,7,1:36.644,96644
1121,857,21,7,1:36.733,96733
1121,857,22,7,1:36.555,96555
1121,857,23,7,1:36.680,96680
1121,857,24,7,1:36.884,96884
1121,857,25,7,1:37.008,97008
1121,857,26,7,1:36.882,96882
1121,857,27,7,1:36.905,96905
1121,857,28,7,1:36.905,96905
1121,857,29,7,1:37.179,97179
1121,857,30,7,1:37.177,97177
1121,857,31,7,1:37.570,97570
1121,857,32,6,1:37.163,97163
1121,857,33,6,1:37.088,97088
1121,857,34,5,1:39.211,99211
1121,857,35,9,1:59.703,119703
1121,857,36,9,1:35.153,95153
1121,857,37,9,1:34.774,94774
1121,857,38,9,1:35.298,95298
1121,857,39,9,1:34.983,94983
1121,857,40,8,1:35.005,95005
1121,857,41,8,1:35.109,95109
1121,857,42,8,1:35.341,95341
1121,857,43,8,1:35.258,95258
1121,857,44,8,1:35.238,95238
1121,857,45,8,1:35.306,95306
1121,857,46,8,1:35.296,95296
1121,857,47,8,1:35.376,95376
1121,857,48,8,1:35.702,95702
1121,857,49,8,1:35.653,95653
1121,857,50,8,1:35.984,95984
1121,857,51,8,1:35.800,95800
1121,857,52,8,1:36.024,96024
1121,857,53,8,1:35.739,95739
1121,857,54,8,1:36.107,96107
1121,857,55,8,1:35.973,95973
1121,857,56,8,1:36.100,96100
1121,857,57,8,1:35.920,95920
1121,1,1,9,1:43.122,103122
1121,1,2,9,1:38.273,98273
1121,1,3,9,1:38.303,98303
1121,1,4,9,1:38.287,98287
1121,1,5,9,1:38.350,98350
1121,1,6,9,1:38.183,98183
1121,1,7,9,1:37.839,97839
1121,1,8,9,1:38.221,98221
1121,1,9,9,1:38.645,98645
1121,1,10,8,1:38.037,98037
1121,1,11,8,1:38.236,98236
1121,1,12,7,1:40.889,100889
1121,1,13,12,1:58.645,118645
1121,1,14,11,1:37.178,97178
1121,1,15,10,1:37.264,97264
1121,1,16,8,1:37.091,97091
1121,1,17,8,1:37.111,97111
1121,1,18,8,1:36.850,96850
1121,1,19,8,1:36.694,96694
1121,1,20,8,1:36.264,96264
1121,1,21,8,1:36.510,96510
1121,1,22,8,1:36.633,96633
1121,1,23,8,1:36.717,96717
1121,1,24,8,1:36.666,96666
1121,1,25,8,1:36.919,96919
1121,1,26,8,1:36.714,96714
1121,1,27,8,1:37.201,97201
1121,1,28,8,1:36.692,96692
1121,1,29,8,1:36.786,96786
1121,1,30,8,1:37.244,97244
1121,1,31,8,1:36.975,96975
1121,1,32,7,1:37.325,97325
1121,1,33,7,1:39.696,99696
1121,1,34,9,1:54.974,114974
1121,1,35,8,1:35.489,95489
1121,1,36,8,1:35.279,95279
1121,1,37,8,1:35.597,95597
1121,1,38,8,1:34.966,94966
1121,1,39,7,1:34.722,94722
1121,1,40,7,1:35.041,95041
1121,1,41,7,1:34.940,94940
1121,1,42,7,1:34.996,94996
1121,1,43,7,1:34.935,94935
1121,1,44,7,1:35.169,95169
1121,1,45,7,1:35.184,95184
1121,1,46,7,1:35.285,95285
1121,1,47,7,1:35.226,95226
1121,1,48,7,1:36.165,96165
1121,1,49,7,1:35.914,95914
1121,1,50,7,1:35.612,95612
1121,1,51,7,1:35.532,95532
1121,1,52,7,1:35.479,95479
1121,1,53,7,1:35.550,95550
1121,1,54,7,1:35.974,95974
1121,1,55,7,1:35.633,95633
1121,1,56,7,1:35.706,95706
1121,1,57,7,1:36.138,96138
1121,852,1,10,1:43.485,103485
1121,852,2,10,1:38.689,98689
1121,852,3,10,1:38.431,98431
1121,852,4,10,1:38.310,98310
1121,852,5,10,1:38.321,98321
1121,852,6,10,1:38.361,98361
1121,852,7,10,1:38.364,98364
1121,852,8,10,1:38.513,98513
1121,852,9,10,1:38.554,98554
1121,852,10,10,1:38.912,98912
1121,852,11,10,1:38.799,98799
1121,852,12,8,1:38.769,98769
1121,852,13,5,1:38.860,98860
1121,852,14,4,1:41.138,101138
1121,852,15,13,1:59.588,119588
1121,852,16,12,1:37.516,97516
1121,852,17,11,1:37.482,97482
1121,852,18,11,1:37.359,97359
1121,852,19,11,1:37.396,97396
1121,852,20,11,1:37.766,97766
1121,852,21,11,1:37.777,97777
1121,852,22,11,1:37.837,97837
1121,852,23,11,1:37.671,97671
1121,852,24,11,1:37.634,97634
1121,852,25,11,1:37.851,97851
1121,852,26,11,1:38.058,98058
1121,852,27,11,1:38.083,98083
1121,852,28,10,1:38.164,98164
1121,852,29,10,1:37.777,97777
1121,852,30,10,1:37.477,97477
1121,852,31,10,1:37.468,97468
1121,852,32,10,1:37.847,97847
1121,852,33,10,1:37.498,97498
1121,852,34,10,1:40.835,100835
1121,852,35,15,1:57.417,117417
1121,852,36,15,1:37.706,97706
1121,852,37,14,1:35.833,95833
1121,852,38,13,1:37.046,97046
1121,852,39,13,1:36.125,96125
1121,852,40,13,1:36.263,96263
1121,852,41,13,1:36.179,96179
1121,852,42,13,1:35.981,95981
1121,852,43,13,1:35.956,95956
1121,852,44,13,1:36.144,96144
1121,852,45,13,1:35.964,95964
1121,852,46,13,1:36.187,96187
1121,852,47,13,1:36.396,96396
1121,852,48,13,1:36.554,96554
