driverStandingsId,raceId,driverId,points,position,positionText,wins
73072,1138,4,62.0,9,9,0
73073,1138,840,24.0,11,11,0
73074,1138,855,0.0,20,20,0
73075,1138,825,6.0,17,17,0
73076,1138,817,12.0,14,14,0
73077,1138,852,22.0,12,12,0
73078,1138,848,12.0,13,13,0
73079,1138,807,24.0,10,10,0
73080,1138,839,5.0,18,18,0
73081,1138,842,8.0,15,15,0
73082,1138,822,0.0,22,22,0
73083,1138,858,0.0,21,21,0
73084,1138,860,7.0,16,16,0
73085,1138,861,4.0,19,19,0
73086,1139,830,354.0,1,1,7
73087,1139,815,150.0,8,8,0
73088,1139,832,215.0,5,5,1
73089,1139,844,275.0,3,3,3
73090,1139,847,167.0,7,7,1
73091,1139,846,297.0,2,2,3
73092,1139,1,177.0,6,6,2
73093,1139,857,247.0,4,4,2
73094,1139,4,62.0,9,9,0
73095,1139,840,24.0,11,11,0
73096,1139,855,0.0,21,21,0
73097,1139,825,8.0,15,15,0
73098,1139,817,12.0,14,14,0
73099,1139,852,22.0,12,12,0
73100,1139,848,12.0,13,13,0
73101,1139,807,29.0,10,10,0
73102,1139,839,5.0,19,19,0
73103,1139,842,8.0,16,16,0
73104,1139,822,0.0,23,23,0
73105,1139,858,0.0,22,22,0
73106,1139,860,7.0,17,17,0
73107,1139,861,5.0,18,18,0
73108,1139,859,2.0,20,20,0
73109,1140,830,362.0,1,1,7
73110,1140,815,150.0,8,8,0
73111,1140,832,240.0,5,5,2
73112,1140,844,291.0,3,3,3
73113,1140,847,177.0,7,7,1
73114,1140,846,315.0,2,2,3
73115,1140,1,189.0,6,6,2
73116,1140,857,251.0,4,4,2
73117,1140,4,62.0,9,9,0
73118,1140,840,24.0,11,11,0
73119,1140,855,0.0,21,21,0
73120,1140,825,14.0,13,13,0
73121,1140,817,12.0,15,15,0
73122,1140,852,22.0,12,12,0
73123,1140,848,12.0,14,14,0
73124,1140,807,31.0,10,10,0
73125,1140,839,5.0,19,19,0
73126,1140,842,9.0,16,16,0
73127,1140,822,0.0,23,23,0
73128,1140,858,0.0,22,22,0
73129,1140,860,7.0,17,17,0
73130,1140,861,5.0,18,18,0
73131,1140,859,2.0,20,20,0
73175,1141,860,7.0,18,18,0
73174,1141,858,0.0,22,22,0
73173,1141,822,0.0,23,23,0
73172,1141,842,26.0,12,12,0
73171,1141,839,23.0,14,14,0
73170,1141,807,31.0,10,10,0
73169,1141,848,12.0,16,16,0
73168,1141,852,28.0,11,11,0
73167,1141,817,12.0,17,17,0
73166,1141,825,14.0,15,15,0
73165,1141,855,0.0,21,21,0
73164,1141,840,24.0,13,13,0
